(NUMMOD, cm, 13)
(ADVMOD, bill, long)
(AMOD, bill, tiny)
(AMOD, iridescent, brown)
(AMOD, back, blue)
(AMOD, crown, blue)
(AMOD, wings, brown)
(AMOD, tail, brown)
(AMOD, rump, brown)
(NSUBJ, white, nape)
(NSUBJ, white, underparts)
(NMOD:EXCEPT_FOR, white, red face)
(NSUBJ, square-ended, tail)
(NSUBJ, whitish, birds)
(ADVMOD, whitish, essentially)
(ADVMOD, whitish, brown)
(NMOD:EXCEPT_FOR, whitish, below rump)
(AMOD, face, dark)
(NSUBJ, above, birds)
(ADVMOD, above, essentially)
(ADVMOD, above, brown)
(NMOD:EXCEPT_FOR, above, below rump)
(NSUBJ, richer, which)
(NMOD:IN, richer, colour)
(AMOD, rump, cinnamon)
(AMOD, forehead, cinnamon)
