(NUMMOD, grams, 110)
(AMOD, tips, blue)
(NMOD:OF, top, head)
(NMOD:ON, top, blue tips)
(ADVMOD, white, almost)
(ADVMOD, white, entirely)
(AMOD, crest, prominent)
(AMOD, crest, black)
(NMOD:BEHIND, crest, bill)
(AMOD, bib, black)
(AMOD, band, thick)
(NMOD:OF, sides, head)
(NSUBJ, bright, breast)
(ADVMOD, bright, typically)
(NMOD:TO, bright, dull yellow)
(NMOD:IN, bright, far northernmost part)
(NMOD:IN, bright, range part)
(AMOD, parts, upper)
(AMOD, tuft, distinct)
(NMOD:IN, tuft, subspecies)
(AMOD, brownish, dark)
(NMOD:TO, brownish, bright yellow)
(NMOD:OF, color, iris)
