(NMOD:AT, crest, head back)
(AMOD, patch, large)
(AMOD, patch, white)
(NSUBJ, black, head)
(NSUBJ, reddish-brown, duck sides)
(AMOD, crest, reddish)
(NMOD:OF, rest, head)

(NSUBJ, species, hooded merganser)
(ADVMOD, species, sexually)
(AMOD, species, dimorphic)
(AMOD, underside, white)
(AMOD, crest, light)
(AMOD, crest, brown)
(NMOD:OF, back, head)

(AMOD, stripes, white)
(NMOD:NEAR, stripes, chest)
(AMOD, crest, white)
(NMOD:OF, back, head)
(NMOD:ON, back, bird develops)
(AMOD, neck, grey-brown)
(AMOD, upperparts, grey-brown)
(AMOD, eye, pale)
(AMOD, tertial-edges, narrower)
(AMOD, tertial-edges, white)
(NMOD:THAN, tertial-edges, adults)
