(NUMMOD, centimetres, 35)
(NMOD:IN, centimetres, length)
(AMOD, upperparts, olive-brown)
(AMOD, underparts, white)
(AMOD, hue, olive)
(AMOD, ring, white)
(AMOD, stripe, black)
(AMOD, tips, olive-green)
(AMOD, feathers, orange)
(NMOD:OF, top, head)
(AMOD, crest, small)
(AMOD, feathers, orange)
(NSUBJ, dark, upper eyes)
(NSUBJ, dark, thin beak eyes)
(NSUBJ, dark, pointed beak eyes)
(NSUBJ, pinkish, legs)
(AMOD, part, upper)
(NMOD:OF, part, thin beak)
(NMOD:OF, part, pointed beak)

(AMOD, birds, immature)
(AMOD, fringes, tawny)
(NMOD:TO, fringes, tertiary remiges coverts)
(NMOD:TO, fringes, outer coverts)
(NMOD:TO, fringes, primary coverts)
(NSUBJ, visible, which)
(ADVMOD, visible, hardly)
(NMOD:IN, visible, adult birds)
(NSUBJ, larger, olive-green tips)
(NSUBJ, larger, feathers tips)
(ADVMOD, larger, far)
(NMOD:IN, larger, extent)
(NMOD:IN, larger, immatures)
(AMOD, corwn-stripe, orange)
(NSUBJ, chik, call)
(AMOD, chik, variably)
(AMOD, chik, pitched)
(AMOD, chik, sharp)

